total_time;spawn_time;image_time;instance_time;concurrent_instances
26486;13166;570;2914;30
29240;0;1300;3806;30
30865;18829;1148;5204;30
36613;18525;1790;4020;30
37390;20728;2502;3456;30
37319;19599;4384;3998;30
37977;20760;2777;2144;30
37999;21327;2562;2498;30
38001;23676;2743;4061;30
38230;20516;2989;1909;30
37687;19440;4690;3949;30
37761;18989;5279;5302;30
38357;22873;2440;3657;30
38508;23765;2531;4260;30
38294;20081;3710;4270;30
38327;17838;6570;6154;30
38452;19048;5123;3792;30
38241;19403;4818;3924;30
38534;20032;3882;4271;30
38382;19736;4129;4103;30
38610;20169;3408;3782;30
38211;18497;5930;6075;30
38282;19079;5394;6230;30
38682;20429;3245;4409;30
38428;19349;5020;5345;30
38856;18032;6451;6189;30
38531;18915;5530;6192;30
38881;18657;5681;6120;30
39356;18166;6343;5968;30
39360;18546;6200;6203;30
